Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 63038.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 8.71 sec. (2864.40 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      306.3373     5                    306.3373    14023         
      0     0      290.8384    66      271.3652 UserPurge1: 82    14459    7.18%
      0     0      290.8018    79      271.3652 UserPurge1: 85    14476    7.16%
      0     0      290.7799    72      271.3652 UserPurge1: 89    14490    7.15%
      0     0      290.7736    21      271.3652 UserPurge1: 83    14499    7.15%
      0     0      290.7583    52      271.3652 UserPurge1: 70    14511    7.15%
      0     0      290.7417    90      271.3652 UserPurge1: 87    14534    7.14%
      0     0      290.6873    20      271.3652 UserPurge1: 89    14555    7.12%
*     0+    0                          275.7386      290.6873    14555    5.42%
      0     0      290.6519    53      275.7386 UserPurge1: 69    14567    5.41%
      0     0      290.5979    62      275.7386 UserPurge1: 84    14590    5.39%
      0     0      290.5577    69      275.7386 UserPurge1: 84    14608    5.37%
      0     0      290.5410    83      275.7386 UserPurge1: 88    14618    5.37%
      0     0      290.4996    46      275.7386 UserPurge1: 89    14645    5.35%
      0     0      290.4803    80      275.7386 UserPurge1: 88    14666    5.35%
      0     0      290.4589    76      275.7386 UserPurge1: 88    14687    5.34%
      0     0      290.4165    73      275.7386 UserPurge1: 88    14725    5.32%
      0     0      290.3886    48      275.7386 UserPurge1: 90    14744    5.31%
      0     0      290.3638    69      275.7386 UserPurge1: 85    14758    5.30%
      0     0      290.2805    60      275.7386 UserPurge1: 95    14796    5.27%
      0     0      290.2650    61      275.7386 UserPurge1: 88    14815    5.27%
      0     0      290.2415    76      275.7386 UserPurge1: 91    14838    5.26%
      0     0      290.2261    62      275.7386 UserPurge1: 91    14865    5.25%
      0     0      290.2165    66      275.7386 UserPurge1: 91    14886    5.25%
      0     0      290.2083    88      275.7386 UserPurge1: 96    14901    5.25%
      0     0      290.1908    71      275.7386 UserPurge1: 92    14929    5.24%
      0     0      290.1716    63      275.7386 UserPurge1: 95    14948    5.23%
      0     0      290.1374    95      275.7386 UserPurge1: 87    14969    5.22%
      0     0      290.1082    71      275.7386 UserPurge1: 95    15005    5.21%
      0     0      290.0985    67      275.7386 UserPurge1: 90    15021    5.21%
      0     0      290.0949    14      275.7386 UserPurge1: 95    15030    5.21%
*     0+    0                          278.0151      290.0949    15030    4.35%
      0     0      290.0868    56      278.0151 UserPurge1: 70    15062    4.34%
      0     0      290.0806    80      278.0151 UserPurge1: 89    15090    4.34%
      0     0      290.0719   101      278.0151 UserPurge1: 91    15115    4.34%
      0     0      290.0508    82      278.0151 UserPurge1: 98    15163    4.33%
      0     0      290.0288    92      278.0151 UserPurge1: 93    15192    4.32%
      0     0      290.0038    84      278.0151 UserPurge1: 99    15242    4.31%
      0     0      289.9911    11      278.0151 UserPurge1: 97    15262    4.31%
      0     0      289.9893    90      278.0151 UserPurge1: 65    15278    4.31%
      0     0      289.9823   103      278.0151 UserPurge1: 98    15295    4.30%
      0     0      289.9749    76      278.0151 UserPurge1: 96    15322    4.30%
      0     0      289.9700    11      278.0151 UserPurge1: 98    15340    4.30%
*     0+    0                          278.5706      289.9700    15340    4.09%
      0     0      289.9690    90      278.5706 UserPurge1: 64    15350    4.09%
      0     0      289.9649   116      278.5706 UserPurge1: 100    15390    4.09%
      0     0      289.9617    11      278.5706 UserPurge1: 98    15393    4.09%
      0     0      289.9517    83      278.5706 UserPurge1: 63    15442    4.09%
      0     0      289.9368    73      278.5706 UserPurge1: 94    15483    4.08%
      0     0      289.9140   104      278.5706 UserPurge1: 95    15517    4.07%
      0     0      289.8899    99      278.5706 UserPurge1: 102    15549    4.06%
      0     0      289.8833    11      278.5706 UserPurge1: 98    15555    4.06%
      0     0      289.8713    87      278.5706 UserPurge1: 64    15588    4.06%
      0     0      289.8372    72      278.5706 UserPurge1: 94    15654    4.04%
      0     0      289.8301    11      278.5706 UserPurge1: 100    15670    4.04%
      0     0      289.8290   113      278.5706 UserPurge1: 63    15685    4.04%
      0     0      289.8203    61      278.5706 UserPurge1: 101    15716    4.04%
      0     0      289.8185    84      278.5706 UserPurge1: 62    15738    4.04%
      0     0      289.8135    77      278.5706 UserPurge1: 62    15773    4.04%
      0     0      289.8092    70      278.5706 UserPurge1: 62    15792    4.03%
      0     0      289.8072    63      278.5706 UserPurge1: 62    15820    4.03%
      0     0      289.8052    70      278.5706 UserPurge1: 62    15845    4.03%
      0     0      289.8038    79      278.5706 UserPurge1: 62    15866    4.03%
      0     0      289.8018    97      278.5706 UserPurge1: 62    15892    4.03%
      0     0      289.7995    80      278.5706 UserPurge1: 62    15913    4.03%
      0     0      289.7959    11      278.5706 UserPurge1: 62    15934    4.03%
      0     0      289.7952    66      278.5706 UserPurge1: 64    15946    4.03%
      0     0      289.7917    65      278.5706 UserPurge1: 62    15971    4.03%
      0     0      289.7902    75      278.5706 UserPurge1: 62    15981    4.03%
      0     0      289.7875    92      278.5706 UserPurge1: 62    16022    4.03%
      0     0      289.7830    85      278.5706 UserPurge1: 62    16060    4.02%
      0     0      289.7789    81      278.5706 UserPurge1: 62    16088    4.02%
      0     0      289.7764    62      278.5706 UserPurge1: 62    16120    4.02%
      0     0      289.7740   138      278.5706 UserPurge1: 62    16141    4.02%
      0     0      289.7731    84      278.5706 UserPurge1: 110    16160    4.02%
      0     0      289.7705   130      278.5706 UserPurge1: 62    16207    4.02%
      0     0      289.7687   133      278.5706 UserPurge1: 110    16261    4.02%
      0     0      289.7671    85      278.5706 UserPurge1: 110    16296    4.02%
      0     0      289.7655   141      278.5706 UserPurge1: 62    16327    4.02%
      0     0      289.7635    88      278.5706 UserPurge1: 110    16376    4.02%
      0     0      289.7623    76      278.5706 UserPurge1: 62    16401    4.02%
      0     0      289.7583   119      278.5706 UserPurge1: 62    16445    4.02%
      0     0      289.7561   135      278.5706 UserPurge1: 111    16483    4.02%
      0     0      289.7558    12      278.5706 UserPurge1: 110    16491    4.02%
      0     0      289.7544   127      278.5706 UserPurge1: 62    16544    4.01%
      0     0      289.7523   130      278.5706 UserPurge1: 111    16592    4.01%
      0     0      289.7510     8      278.5706 UserPurge1: 110    16608    4.01%
      0     0      289.7496    79      278.5706 UserPurge1: 2    16644    4.01%
      0     0      289.7491     8      278.5706 UserPurge1: 62    16649    4.01%
      0     0      289.7477    90      278.5706 UserPurge1: 2    16686    4.01%
      0     0      289.7455   126      278.5706 UserPurge1: 62    16717    4.01%
      0     0      289.7443   133      278.5706 UserPurge1: 110    16746    4.01%
      0     0      289.7422    82      278.5706 UserPurge1: 110    16784    4.01%
      0     0      289.7414    10      278.5706 UserPurge1: 62    16800    4.01%
      0     0      289.7412    62      278.5706 UserPurge1: 62    16813    4.01%
      0     0      289.7389   121      278.5706 UserPurge1: 62    16843    4.01%
      0     0      289.7387    11      278.5706 UserPurge1: 111    16846    4.01%
      0     0      289.7375   134      278.5706 UserPurge1: 62    16879    4.01%
      0     0      289.7349    11      278.5706 UserPurge1: 110    16908    4.01%
      0     0      289.7347    87      278.5706 UserPurge1: 62    16918    4.01%
      0     0      289.7331    86      278.5706 UserPurge1: 62    16956    4.01%
      0     0      289.7326    63      278.5706 UserPurge1: 62    16985    4.01%
      0     0      289.7317   123      278.5706 UserPurge1: 62    17012    4.01%
      0     0      289.7308    92      278.5706 UserPurge1: 111    17044    4.01%
      0     0      289.7289    67      278.5706 UserPurge1: 62    17105    4.01%
      0     0      289.7286    13      278.5706 UserPurge1: 62    17110    4.01%
      0     0      289.7277    10      278.5706 UserPurge1: 66    17147    4.01%
      0     0      289.7275   159      278.5706 UserPurge1: 62    17161    4.01%
      0     0      289.7269    93      278.5706 UserPurge1: 113    17195    4.00%
      0     0      289.7254   167      278.5706 UserPurge1: 62    17233    4.00%
      0     0      289.7220    93      278.5706 UserPurge1: 110    17289    4.00%
      0     0      289.7206    11      278.5706 UserPurge1: 62    17336    4.00%
      0     2      289.7206    11      278.5706      289.7174    17336    4.00%                        0             0
Elapsed time = 558.83 sec. (170781.21 ticks, tree = 0.00 MB, solutions = 7)
      1     2      289.4280   104      278.5706      289.4280    17469    3.90%x_ENSMUSP0000009 D      1      0      1
      2     3      289.0112    90      278.5706      289.1160    18141    3.79%y_ENSMUSP0000002 N      2      1      2
      3     4      288.9800    85      278.5706      289.1160    18188    3.79%x_ENSP0000026203 U      3      2      3
      4     5      289.0101    76      278.5706      289.1160    18207    3.79%x_ENSP0000026203 D      4      2      3
      5     6      289.0084    41      278.5706      289.1160    18222    3.79%x_ENSMUSP0000002 U      5      4      4
*     6+    5                          287.8609      289.1160    18357    0.44%
      6     7      288.9651    11      287.8609      289.1160    18357    0.44%x_ENSP0000034620 N      6      5      5
      7     8      288.9553    47      287.8609      289.1160    18410    0.44%x_ENSMUSP0000003 U      7      6      6
      8     9      288.8523     8      287.8609      289.1160    18502    0.44%x_ENSMUSP0000003 D      8      6      6
      9    10      288.9413    47      287.8609      289.1160    18555    0.44%x_ENSP0000033365 D      9      7      7
     10    11      288.8864    10      287.8609      289.1160    18608    0.44%x_ENSP0000035561 N     10      9      8
Elapsed time = 741.01 sec. (309369.88 ticks, tree = 1.67 MB, solutions = 8)
     11    12      288.8367    48      287.8609      289.1160    18623    0.44%x_ENSP0000022747 D     11     10      9
     13    14      288.8143    44      287.8609      289.1160    18661    0.44%x_ENSP0000042027 D     13     11     10
     15    16      288.7956    12      287.8609      289.1160    18665    0.44%x_ENSP0000024235 D     15     14     12
     18    19      288.7283    13      287.8609      289.1160    18813    0.44%z_ENSMUSP0000002 N     18     15     13
     19    20      288.7135    34      287.8609      289.1160    18850    0.44%x_ENSP0000022979 U     19     18     14
     20    20      288.1178    18      287.8609      289.1160    18909    0.44%x_ENSP0000022979 D     20     18     14
     21    20      288.0365    25      287.8609      289.1160    18921    0.44%x_ENSP0000034929 D     21     20     15
     22    20      288.0359    17      287.8609      289.1160    18974    0.44%x_ENSP0000039242 D     22     21     16
     24    21      288.0180    50      287.8609      289.1160    19004    0.44%x_ENSP0000032566 D     24     23     18
*    26+   19                          287.9795      289.1160    19024    0.39%
     27    22      289.1081    53      287.9795      289.1160    19179    0.39%z_ENSMUSP0000002 U     27     26      2
Elapsed time = 792.70 sec. (339789.30 ticks, tree = 1.95 MB, solutions = 9)
     28    23      289.0524     8      287.9795      289.1081    19294    0.39%z_ENSMUSP0000002 D     28     26      2
     29    24      289.1062    53      287.9795      289.1059    19320    0.39%x_ENSP0000033161 D     29     27      3
     30    25      289.0906    75      287.9795      289.1059    19436    0.39%y_ENSP0000035561 U     30     29      4
     32    27      288.9391   101      287.9795      289.1059    20003    0.39%x_ENSP0000028257 N     32     31      6
     33    28      288.9338    81      287.9795      289.1059    20087    0.39%x_ENSMUSP0000003 D     33     32      7
     35    30      288.8953    92      287.9795      289.1059    20094    0.39%x_ENSP0000022892 D     35     34      9
     36    31      288.8933    70      287.9795      289.1059    20108    0.39%x_ENSMUSP0000001 D     36     35     10
     38    33      288.8867     8      287.9795      289.1059    20131    0.39%x_ENSP0000030331 D     38     37     12
     39    34      288.8829    62      287.9795      289.1059    20157    0.39%x_ENSP0000036569 D     39     38     13
     40    35      288.8740    69      287.9795      289.1059    20230    0.39%x_ENSMUSP0000003 D     40     39     14
Elapsed time = 907.99 sec. (426252.39 ticks, tree = 2.32 MB, solutions = 9)
     42    35      288.7317    58      287.9795      289.1059    20527    0.39%x_ENSMUSP0000000 N     42     40     15
     45    38      288.7204    68      287.9795      289.1059    20597    0.39%x_ENSP0000025757 D     45     44     18
     47    40      288.0748     9      287.9795      289.1059    20775    0.39%x_ENSP0000029951 U     47     45     19
     48    41      288.7094    65      287.9795      289.1059    20808    0.39%x_ENSP0000039687 D     48     46     20
     49    40        cutoff            287.9795      289.1059    20953    0.39%x_ENSP0000039687 U     49     46     20
     52    43      288.7023    32      287.9795      289.1059    20987    0.39%x_ENSP0000026817 D     52     51     23
     53    43      288.6346    59      287.9795      289.1059    21031    0.39%z_ENSMUSP0000007 N     53     52     24
     55    44      288.6224    85      287.9795      289.1059    21062    0.39%x_ENSP0000025948 D     55     54     26
     59    48      288.6061    30      287.9795      289.1059    21109    0.39%x_ENSP0000000525 D     59     58     30
     60    49      288.5937    38      287.9795      289.1059    21125    0.39%x_ENSP0000034226 D     60     59     31
Elapsed time = 978.08 sec. (462499.53 ticks, tree = 2.72 MB, solutions = 9)
     62    49      288.5921    32      287.9795      289.1059    21252    0.39%x_ENSP0000038526 U     62     60     32
     65    50      288.5880    51      287.9795      289.1059    21300    0.39%x_ENSP0000031012 D     65     64     34
     67    52      288.5004    73      287.9795      289.1059    21584    0.39%x_ENSP0000035728 N     67     66     36
     68    51        cutoff            287.9795      289.1059    21721    0.39%x_ENSP0000035728 U     68     66     36
     69    52      288.4877    78      287.9795      289.1059    21739    0.39%x_ENSP0000030057 D     69     67     37
     71    52        cutoff            287.9795      289.1059    21824    0.39%x_ENSP0000034138 U     71     69     38
     72    53      288.4838    51      287.9795      289.1059    21835    0.39%x_ENSP0000032566 D     72     70     39
     73    53      288.4787    80      287.9795      289.1059    21848    0.39%z_ENSMUSP0000002 D     73     72     40
     76    56      288.4767    47      287.9795      289.1059    21881    0.39%x_ENSP0000035610 D     76     75     43
     78    56      288.4726    56      287.9795      289.1059    22002    0.39%mm_ENSMUSP000000 D     78     76     44
Elapsed time = 1070.37 sec. (508796.31 ticks, tree = 4.36 MB, solutions = 9)
     79    55        cutoff            287.9795      289.1059    22139    0.39%mm_ENSMUSP000000 U     79     76     44
     80    56      288.4715    45      287.9795      289.1059    22152    0.39%x_ENSP0000036099 D     80     78     45
     82    56        cutoff            287.9795      289.1059    22251    0.39%x_ENSP0000035024 U     82     80     46
     84    58      288.4562    33      287.9795      289.1059    22273    0.39%x_ENSP0000036921 U     84     83     48
     85    58      287.9910    16      287.9795      289.1059    22293    0.39%x_ENSP0000036921 D     85     83     48
     87    58      289.0836    11      287.9795      289.1016    22371    0.39%y_ENSP0000035561 D     87     29      4
     89    60      288.9000     5      287.9795      289.1016    22478    0.39%          m_3353 U     89     88      6
     90    61      288.8847     5      287.9795      289.1016    22490    0.39%z_ENSMUSP0000002 U     90     89      7
     92    63      288.6490     5      287.9795      289.1016    22587    0.39%x_ENSMUSP0000003 U     92     91      9
     93    64      288.5987     5      287.9795      289.1016    22608    0.39%z_ENSMUSP0000009 D     93     92     10
Elapsed time = 1130.21 sec. (549668.11 ticks, tree = 4.62 MB, solutions = 9)
     94    65      288.5844     3      287.9795      289.1016    22611    0.39%x_ENSMUSP0000006 D     94     93     11
*    96    49      integral     0      288.5516      289.1016    22621    0.19%x_ENSMUSP0000003 D     96     95     13
     98    47        cutoff            288.5516      289.0888    22729    0.19%x_ENSP0000033161 U     98     27      3
    100    45        cutoff            288.5516      289.0833    22849    0.18%x_ENSP0000028257 U    100     31      6
    102    45      288.9078     5      288.5516      289.0519    22989    0.17%y_ENSP0000035561 D    102     28      3
    105    48      288.7447    19      288.5516      289.0519    23040    0.17%x_ENSMUSP0000000 U    105    104      6
*   106    38      integral     0      288.6613      289.0519    23072    0.14%x_ENSMUSP0000003 D    106    105      7
    108    38      288.8436   119      288.6613      289.0390    23529    0.13%y_ENSP0000035561 U    108     28      3
    110    40      288.8250    93      288.6613      289.0390    23709    0.13%x_ENSP0000028257 D    110    109      5
    111    41      288.8176    91      288.6613      289.0390    23842    0.13%x_ENSP0000033365 D    111    110      6
Elapsed time = 1175.77 sec. (565304.47 ticks, tree = 2.53 MB, solutions = 11)
    113    43      288.8161    80      288.6613      289.0390    23911    0.13%x_ENSP0000030331 D    113    112      8
    115    45      288.8148    69      288.6613      289.0390    23971    0.13%x_ENSP0000028715 D    115    114     10
    117    47      288.7980    61      288.6613      289.0390    24109    0.13%x_ENSP0000034620 D    117    116     12
    119    47        cutoff            288.6613      289.0390    24221    0.13%x_ENSP0000026817 N    119    118     14
    121    47      288.7571     5      288.6613      289.0097    24331    0.12%          m_3353 D    121     88      6
    124    46      288.7494    62      288.6613      289.0081    24507    0.12%x_ENSMUSP0000002 D    124      4      4
    125    46      288.7175    66      288.6613      289.0081    24586    0.12%x_ENSP0000024334 D    125    124      5
    126    46      288.7173    72      288.6613      289.0081    24597    0.12%x_ENSMUSP0000009 D    126    125      6
    129    49      288.6902    62      288.6613      289.0081    24653    0.12%y_ENSP0000035561 U    129    128      9
    132    48        cutoff            288.6613      289.0081    24702    0.12%z_ENSMUSP0000002 D    132    130     10
Elapsed time = 1213.95 sec. (581315.20 ticks, tree = 1.35 MB, solutions = 11)
    134    50      288.9775    34      288.6613      288.9767    24783    0.11%x_ENSP0000033365 D    134    133      6
    137    53      288.9733    38      288.6613      288.9767    24808    0.11%x_ENSP0000025932 D    137    136      9
    138    52        cutoff            288.6613      288.9767    25316    0.11%z_ENSMUSP0000002 N    138    137     10
    139    53      288.6818    61      288.6613      288.9767    25635    0.11%z_ENSMUSP0000002 D    139    137     10
    140    53      288.6817    58      288.6613      288.9767    25636    0.11%y_ENSP0000035561 U    140    139     11
    143    56      288.6792    60      288.6613      288.9767    25650    0.11%x_ENSP0000036600 D    143    142     14
    145    57      288.6655    60      288.6613      288.9767    25691    0.11%z_ENSMUSP0000007 D    145    144     16
    147    55        cutoff            288.6613      288.9749    25779    0.11%x_ENSP0000033365 U    147    133      6
    149    55      288.8193     5      288.6613      288.9671    25884    0.11%x_ENSP0000033161 D    149      3      4
    151    57      288.7582    21      288.6613      288.9671    25941    0.11%mm_ENSMUSP000000 U    151    150      6
Elapsed time = 1280.60 sec. (603130.14 ticks, tree = 1.58 MB, solutions = 11)
    154    60      288.7496    24      288.6613      288.9671    25957    0.11%x_ENSMUSP0000003 D    154    153      9
    155    59        cutoff            288.6613      288.9671    26006    0.11%x_ENSP0000034620 N    155    154     10
    157    57        cutoff            288.6613      288.9652    26042    0.11%x_ENSP0000033161 U    157      3      4
    159    55        cutoff            288.6613      288.9371    26112    0.10%x_ENSP0000033365 U    159      7      7
    161    55      288.9221     5      288.6613      288.9336    26134    0.09%x_ENSP0000035561 D    161      9      8
    163    57      288.7662     5      288.6613      288.9336    26174    0.09%          m_3448 U    163    162     10
*   164+   55                          288.6656      288.9336    26209    0.09%
    165    56        cutoff            288.6656      288.9336    26218    0.09%x_ENSMUSP0000001 D    165    164     12
    167    56      288.7467    95      288.6656      288.9332    26563    0.09%x_ENSP0000034620 U    167     33      8
    169    56        cutoff            288.6656      288.9332    26589    0.09%x_ENSMUSP0000003 U    169    167      9
    177    61      288.6847    86      288.6656      288.9332    26776    0.09%x_ENSP0000036569 D    177    176     16
Elapsed time = 1342.69 sec. (624358.41 ticks, tree = 1.73 MB, solutions = 12)
    184    60        cutoff            288.6656      288.9163    26892    0.09%z_ENSMUSP0000003 D    184    182     10
    190    56        cutoff            288.6656      288.8928    27151    0.08%x_ENSMUSP0000001 U    190     35     10
    197    53      288.7858     7      288.6656      288.8716    27350    0.07%x_ENSP0000034620 D    197    196     10
*   198    18      integral     0      288.7842      288.8716    27351    0.03%x_ENSMUSP0000008 D    198    197     11
    205    15        cutoff            288.7842      288.8495    27485    0.02%x_ENSP0000035561 D    205      8      7
    212     8        cutoff            288.7842      288.8134    27601    0.01%x_ENSMUSP0000001 U    212    113      9

User cuts applied:  7033

Root node processing (before b&c):
  Real time             =  558.84 sec. (170783.14 ticks)
Sequential b&c:
  Real time             =  849.54 sec. (475717.47 ticks)
                          ------------
Total (root+branch&cut) = 1408.38 sec. (646500.61 ticks)
Solved in 1413.25s
	Command being timed: "timeout 6500s /home/hsoueidan/xheinz/build/xHeinz_git_user_cuts -n1 2h/mouse_MA_scores_0.01_corrected_ensp_induced.tsv -n2 2h/human_MA_scores_0.01_corrected_ensp_induced.tsv -e1 /home/hsoueidan/xheinz/data/Th17/STRING/mmu-no_UBC.txt -e2 /home/hsoueidan/xheinz/data/Th17/STRING/hsa-no_UBC_no_SUMO2.txt -t 6000 -cog data/ensembl_cog_ALL.tsv -a 0.4"
	User time (seconds): 1435.59
	System time (seconds): 37.72
	Percent of CPU this job got: 100%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 24:20.56
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 14104144
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 9
	Minor (reclaiming a frame) page faults: 3769150
	Voluntary context switches: 724
	Involuntary context switches: 1893
	Swaps: 0
	File system inputs: 1448
	File system outputs: 0
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
